row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
397	133015	8.879 sec	TLP	Downstream	0x1	1
398	133019	8.879 sec	TLP	Upstream	0x12	1
399	133021	8.879 sec	TLP	Downstream	0x3	1
400	133023	8.879 sec	TLP	Downstream	0x1	1
401	133027	8.879 sec	TLP	Upstream	0x12	1
402	133029	8.879 sec	TLP	Downstream	0x3	1
403	137498	8.910 sec	TLP	Downstream	0x3	1
404	137501	8.910 sec	TLP	Downstream	0x3	1
405	137503	8.910 sec	TLP	Downstream	0x1	1
406	137507	8.910 sec	TLP	Upstream	0x12	1
407	137509	8.910 sec	TLP	Downstream	0x3	1
408	137511	8.910 sec	TLP	Downstream	0x1	1
409	137515	8.910 sec	TLP	Upstream	0x12	1
410	142057	8.942 sec	TLP	Downstream	0x3	1
411	144324	8.957 sec	TLP	Downstream	0x1	1
412	144327	8.957 sec	TLP	Upstream	0x12	1
413	148877	8.989 sec	TLP	Downstream	0x1	1
414	148880	8.989 sec	TLP	Upstream	0x12	1
415	151169	9.005 sec	TLP	Downstream	0x1	1
416	151172	9.005 sec	TLP	Upstream	0x12	1
417	153465	9.021 sec	TLP	Downstream	0x1	1
418	153468	9.021 sec	TLP	Upstream	0x12	1
419	155676	9.036 sec	TLP	Downstream	0x1	1
420	155679	9.036 sec	TLP	Upstream	0x12	1
421	157956	9.052 sec	TLP	Downstream	0x1	1
422	157959	9.052 sec	TLP	Upstream	0x12	1
423	157961	9.052 sec	TLP	Downstream	0x3	1
424	157964	9.052 sec	TLP	Downstream	0x3	1
425	157967	9.052 sec	TLP	Downstream	0x3	1
426	157970	9.052 sec	TLP	Downstream	0x1	1
427	157973	9.052 sec	TLP	Upstream	0x12	1
428	157975	9.052 sec	TLP	Downstream	0x1	1
429	157978	9.052 sec	TLP	Upstream	0x12	1
430	157980	9.052 sec	TLP	Downstream	0x3	1
431	157983	9.052 sec	TLP	Downstream	0x1	1
432	157986	9.052 sec	TLP	Upstream	0x12	1
433	157988	9.052 sec	TLP	Downstream	0x3	1
434	157990	9.052 sec	TLP	Downstream	0x1	1
435	157994	9.052 sec	TLP	Upstream	0x12	1
436	160266	9.068 sec	TLP	Downstream	0x1	1
437	160269	9.068 sec	TLP	Upstream	0x12	1
438	160271	9.068 sec	TLP	Downstream	0x3	1
439	160274	9.068 sec	TLP	Downstream	0x1	1
440	160277	9.068 sec	TLP	Upstream	0x12	1
