
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-10k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 10000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=10000 time=vendor_display_text
PCIE_G1B_TLP|3129| 8.277 sec|TLP|Upstream|0xD|1
PCIE_G1B_TLP|71580| 8.455 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|71582| 8.455 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|71584| 8.455 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|71588| 8.455 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|76092| 8.487 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|78412| 8.503 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|78415| 8.503 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|82798| 8.533 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|82801| 8.533 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|84997| 8.548 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|85000| 8.548 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|87279| 8.564 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|87282| 8.564 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|89556| 8.580 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|89559| 8.580 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|91886| 8.596 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|91889| 8.596 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|91893| 8.596 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|91896| 8.596 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|91899| 8.596 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|91902| 8.596 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|91905| 8.596 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|91907| 8.596 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|91910| 8.596 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|91912| 8.596 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|91915| 8.596 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|91918| 8.596 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|91920| 8.596 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|91922| 8.596 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|91926| 8.596 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|94192| 8.612 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|94195| 8.612 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|94197| 8.612 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|94199| 8.612 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|94203| 8.612 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|94205| 8.612 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96432| 8.627 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|96435| 8.627 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|96437| 8.627 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|96440| 8.627 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|96442| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96444| 8.627 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|96448| 8.627 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|96450| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96454| 8.627 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|96458| 8.627 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|96460| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96463| 8.627 sec|TLP|Downstream|0x1|1
