row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
479	2100797	5.923 sec	TLP	Downstream	0x9	1
480	2100799	5.923 sec	TLP	Upstream	0x12	1
481	2100802	5.923 sec	TLP	Downstream	0x9	1
482	2100804	5.923 sec	TLP	Upstream	0x12	1
483	2100807	5.923 sec	TLP	Downstream	0x9	1
484	2100809	5.923 sec	TLP	Upstream	0x12	1
485	2100812	5.923 sec	TLP	Downstream	0x9	1
486	2100814	5.923 sec	TLP	Upstream	0x12	1
487	2100817	5.923 sec	TLP	Downstream	0x9	1
488	2100819	5.923 sec	TLP	Upstream	0x12	1
489	2100822	5.923 sec	TLP	Downstream	0x9	1
490	2100824	5.923 sec	TLP	Upstream	0x12	1
491	2100827	5.923 sec	TLP	Downstream	0x9	1
492	2100830	5.923 sec	TLP	Upstream	0x12	1
493	2100833	5.923 sec	TLP	Downstream	0x9	1
494	2100835	5.923 sec	TLP	Upstream	0x12	1
