row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
284	91896	8.596 sec	Downstream	0x3	0	0	NA	NA
285	91899	8.596 sec	Downstream	0x3	0	0	NA	NA
286	91902	8.596 sec	Downstream	0x1	0	0	NA	NA
287	91905	8.596 sec	Upstream	0x12	0	0	256	0
288	91907	8.596 sec	Downstream	0x1	4	0	NA	NA
289	91910	8.596 sec	Upstream	0x12	4	0	256	0
290	91912	8.596 sec	Downstream	0x3	0	0	NA	NA
291	91915	8.596 sec	Downstream	0x1	10	0	NA	NA
292	91918	8.596 sec	Upstream	0x12	10	0	256	0
293	91920	8.596 sec	Downstream	0x3	0	0	NA	NA
294	91922	8.596 sec	Downstream	0x1	1	0	NA	NA
295	91926	8.596 sec	Upstream	0x12	1	0	256	0
296	94192	8.612 sec	Downstream	0x1	6	0	NA	NA
297	94195	8.612 sec	Upstream	0x12	6	0	256	0
298	94197	8.612 sec	Downstream	0x3	0	0	NA	NA
299	94199	8.612 sec	Downstream	0x1	12	0	NA	NA
300	94203	8.612 sec	Upstream	0x12	12	0	256	0
301	94205	8.612 sec	Downstream	0x3	0	0	NA	NA
302	96432	8.627 sec	Downstream	0x1	2	0	NA	NA
303	96435	8.627 sec	Upstream	0x12	2	0	256	0
304	96437	8.627 sec	Downstream	0x1	8	0	NA	NA
305	96440	8.627 sec	Upstream	0x12	8	0	256	0
306	96442	8.627 sec	Downstream	0x3	0	0	NA	NA
307	96444	8.627 sec	Downstream	0x1	14	0	NA	NA
308	96448	8.627 sec	Upstream	0x12	14	0	256	0
309	96450	8.627 sec	Downstream	0x3	0	0	NA	NA
310	96454	8.627 sec	Downstream	0x1	0	0	NA	NA
311	96458	8.627 sec	Upstream	0x12	0	0	256	0
312	96460	8.627 sec	Downstream	0x3	0	0	NA	NA
313	96463	8.627 sec	Downstream	0x1	5	0	NA	NA
314	96466	8.627 sec	Upstream	0x12	5	0	256	0
315	96468	8.627 sec	Downstream	0x1	11	0	NA	NA
316	96471	8.627 sec	Upstream	0x12	11	0	256	0
317	96473	8.627 sec	Downstream	0x3	0	0	NA	NA
318	96476	8.627 sec	Downstream	0x3	0	0	NA	NA
319	96478	8.627 sec	Downstream	0x3	0	0	NA	NA
320	96481	8.627 sec	Downstream	0x3	0	0	NA	NA
321	96484	8.627 sec	Downstream	0x1	1	0	NA	NA
322	96488	8.627 sec	Upstream	0x12	1	0	256	0
323	96490	8.627 sec	Downstream	0x3	0	0	NA	NA
324	96492	8.627 sec	Downstream	0x3	0	0	NA	NA
325	96496	8.627 sec	Downstream	0x3	0	0	NA	NA
326	96499	8.627 sec	Downstream	0x3	0	0	NA	NA
