row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
342	2095964	5.895 sec	Upstream	0x12	12	0	256	0
343	2095967	5.895 sec	Downstream	0x9	2	0	NA	NA
344	2095969	5.895 sec	Upstream	0x12	2	0	256	0
345	2095972	5.895 sec	Downstream	0x9	8	0	NA	NA
346	2095974	5.895 sec	Upstream	0x12	8	0	256	0
347	2095977	5.895 sec	Downstream	0x9	14	0	NA	NA
348	2095979	5.895 sec	Upstream	0x12	14	0	256	0
349	2095982	5.895 sec	Downstream	0x9	0	0	NA	NA
350	2095985	5.895 sec	Upstream	0x12	0	0	256	0
351	2095988	5.895 sec	Downstream	0xA	5	0	NA	NA
352	2095992	5.895 sec	Upstream	0x11	5	0	256	0
353	2095995	5.895 sec	Downstream	0xA	11	0	NA	NA
354	2095997	5.895 sec	Upstream	0x11	11	0	256	0
355	2096000	5.895 sec	Downstream	0xA	1	0	NA	NA
356	2096002	5.895 sec	Upstream	0x11	1	0	256	0
357	2096005	5.895 sec	Downstream	0xA	7	0	NA	NA
358	2096007	5.895 sec	Upstream	0x11	7	0	256	0
359	2096010	5.895 sec	Downstream	0xA	13	0	NA	NA
360	2096012	5.895 sec	Upstream	0x11	13	0	256	0
361	2096015	5.895 sec	Downstream	0xA	3	0	NA	NA
362	2096017	5.895 sec	Upstream	0x11	3	0	256	0
363	2096020	5.895 sec	Downstream	0x9	9	0	NA	NA
364	2096022	5.895 sec	Upstream	0x12	9	0	256	0
365	2096025	5.895 sec	Downstream	0x9	15	0	NA	NA
366	2096027	5.895 sec	Upstream	0x12	15	0	256	0
367	2096030	5.895 sec	Downstream	0x9	0	0	NA	NA
368	2096033	5.895 sec	Upstream	0x12	0	0	256	0
369	2096036	5.895 sec	Downstream	0x9	4	0	NA	NA
370	2096038	5.895 sec	Upstream	0x12	4	0	256	0
371	2096041	5.895 sec	Downstream	0x9	10	0	NA	NA
372	2096043	5.895 sec	Upstream	0x12	10	0	256	0
373	2096046	5.895 sec	Downstream	0x9	1	0	NA	NA
374	2096048	5.895 sec	Upstream	0x12	1	0	256	0
375	2096051	5.895 sec	Downstream	0xA	6	0	NA	NA
